8895,15505
8895,47805
8895,50517
8895,56604
8895,56714
8895,62452
17927,133606
25019,39891
25019,41594
25019,44614
25019,48932
25019,49474
25019,50104
25019,50517
25019,57112
25019,57968
25019,60050
25019,60621
25019,198254
25233,12529
25233,31699
25233,35338
25233,39370
25233,41739
25233,42591
25233,42684
25233,44138
25233,47146
25233,47805
25233,48937
25233,49240
25233,50280
25233,51670
25233,54363
25233,57458
25233,57900
25233,60161
25233,199001
25233,200025
28938,43316
29684,3573
29684,39358
29684,41054
29684,42182
29684,49610
29684,57689
29684,58025
29684,197989
31416,41132
34397,12529
34397,43316
34397,43378
34397,44465
34397,48932
34397,48937
34397,49240
34397,60055
34426,51975
35753,5080
35753,21002
35753,28938
35753,29684
35753,30815
35753,30857
35753,31416
35753,31699
35753,35086
35753,39015
35753,39358
35753,39919
35753,41176
35753,41472
35753,41594
35753,41810
35753,42428
35753,42591
35753,42943
35753,43706
35753,43775
35753,47146
35753,47327
35753,47794
35753,47887
35753,48937
35753,54363
35753,60050
35753,60462
35753,196848
35753,197989
35753,199001
35753,199963
35753,201927
35819,3573
35819,15505
35819,25438
35819,29255
35819,29684
35819,29690
35819,30815
35819,31699
35819,34397
35819,34400
35819,39228
35819,39370
35819,39432
35819,41176
35819,41739
35819,42943
35819,43373
35819,43378
35819,43775
35819,44623
35819,44995
35819,47423
35819,47794
35819,47805
35819,48840
35819,48932
35819,48937
35819,49474
35819,49805
35819,50999
35819,51670
35819,56714
35819,57458
35819,60161
35819,60621
35819,197989
35819,198406
35819,199963
35819,200025
35819,202105
39228,45246
39386,8895
39386,9155
39386,12486
39386,15706
39386,25019
39386,25233
39386,25438
39386,28938
39386,29684
39386,29690
39386,30815
39386,30857
39386,30990
39386,34397
39386,34426
39386,35388
39386,35753
39386,39015
39386,39228
39386,39432
39386,39792
39386,39912
39386,39919
39386,41176
39386,41426
39386,42428
39386,42708
39386,42769
39386,42838
39386,42912
39386,42943
39386,43373
39386,43531
39386,43775
39386,47589
39386,47794
39386,48166
39386,48840
39386,49475
39386,50880
39386,59605
39386,197247
39386,197994
39432,198406
41176,60055
41426,31452
41426,35457
41426,51375
47794,34397
47794,48695
47794,201927
48237,5416
48237,6412
48237,8697
48237,8895
48237,9038
48237,9155
48237,35819
48237,39015
48237,43852
48237,59605
48695,29160
